Year,Age,Sex,Ethnicity,Median Weekly Earnings
2000,16-24 Years Old,All,All,361
2001,16-24 Years Old,All,All,375
2002,16-24 Years Old,All,All,381
2003,16-24 Years Old,All,All,387
2004,16-24 Years Old,All,All,390
2005,16-24 Years Old,All,All,397
2006,16-24 Years Old,All,All,409
2007,16-24 Years Old,All,All,424
2008,16-24 Years Old,All,All,443
2009,16-24 Years Old,All,All,442
2010,16-24 Years Old,All,All,432
2011,16-24 Years Old,All,All,440
2012,16-24 Years Old,All,All,444
2013,16-24 Years Old,All,All,454
2014,16-24 Years Old,All,All,477
2015,16-24 Years Old,All,All,487
2016,16-24 Years Old,All,All,501
2017,16-24 Years Old,All,All,519
2018,16-24 Years Old,All,All,548
2019,16-24 Years Old,All,All,581
2020,16-24 Years Old,All,All,606
2021,16-24 Years Old,All,All,623
2000,16-24 Years Old,Male,All,375
2001,16-24 Years Old,Male,All,391
2002,16-24 Years Old,Male,All,391
2003,16-24 Years Old,Male,All,398
2004,16-24 Years Old,Male,All,400
2005,16-24 Years Old,Male,All,409
2006,16-24 Years Old,Male,All,418
2007,16-24 Years Old,Male,All,443
2008,16-24 Years Old,Male,All,461
2009,16-24 Years Old,Male,All,458
2010,16-24 Years Old,Male,All,443
2011,16-24 Years Old,Male,All,455
2012,16-24 Years Old,Male,All,468
2013,16-24 Years Old,Male,All,479
2014,16-24 Years Old,Male,All,493
2015,16-24 Years Old,Male,All,510
2016,16-24 Years Old,Male,All,512
2017,16-24 Years Old,Male,All,547
2018,16-24 Years Old,Male,All,575
2019,16-24 Years Old,Male,All,607
2020,16-24 Years Old,Male,All,622
2021,16-24 Years Old,Male,All,650
2000,16-24 Years Old,Female,All,344
2001,16-24 Years Old,Female,All,353
2002,16-24 Years Old,Female,All,367
2003,16-24 Years Old,Female,All,371
2004,16-24 Years Old,Female,All,375
2005,16-24 Years Old,Female,All,381
2006,16-24 Years Old,Female,All,395
2007,16-24 Years Old,Female,All,409
2008,16-24 Years Old,Female,All,420
2009,16-24 Years Old,Female,All,424
2010,16-24 Years Old,Female,All,422
2011,16-24 Years Old,Female,All,421
2012,16-24 Years Old,Female,All,416
2013,16-24 Years Old,Female,All,423
2014,16-24 Years Old,Female,All,451
2015,16-24 Years Old,Female,All,450
2016,16-24 Years Old,Female,All,486
2017,16-24 Years Old,Female,All,499
2018,16-24 Years Old,Female,All,522
2019,16-24 Years Old,Female,All,540
2020,16-24 Years Old,Female,All,589
2021,16-24 Years Old,Female,All,605
2000,All,All,All,576
2001,All,All,All,596
2002,All,All,All,608
2003,All,All,All,620
2004,All,All,All,638
2005,All,All,All,651
2006,All,All,All,671
2007,All,All,All,695
2008,All,All,All,722
2009,All,All,All,739
2010,All,All,All,747
2011,All,All,All,756
2012,All,All,All,768
2013,All,All,All,776
2014,All,All,All,791
2015,All,All,All,809
2016,All,All,All,832
2017,All,All,All,860
2018,All,All,All,886
2019,All,All,All,917
2020,All,All,All,984
2021,All,All,All,998
2000,All,Male,All,641
2001,All,Male,All,670
2002,All,Male,All,679
2003,All,Male,All,695
2004,All,Male,All,713
2005,All,Male,All,722
2006,All,Male,All,743
2007,All,Male,All,766
2008,All,Male,All,798
2009,All,Male,All,819
2010,All,Male,All,824
2011,All,Male,All,832
2012,All,Male,All,854
2013,All,Male,All,860
2014,All,Male,All,871
2015,All,Male,All,895
2016,All,Male,All,915
2017,All,Male,All,941
2018,All,Male,All,973
2019,All,Male,All,1007
2020,All,Male,All,1082
2021,All,Male,All,1097
2000,All,Female,All,493
2001,All,Female,All,512
2002,All,Female,All,529
2003,All,Female,All,552
2004,All,Female,All,573
2005,All,Female,All,585
2006,All,Female,All,600
2007,All,Female,All,614
2008,All,Female,All,638
2009,All,Female,All,657
2010,All,Female,All,669
2011,All,Female,All,684
2012,All,Female,All,691
2013,All,Female,All,706
2014,All,Female,All,719
2015,All,Female,All,726
2016,All,Female,All,749
2017,All,Female,All,770
2018,All,Female,All,789
2019,All,Female,All,821
2020,All,Female,All,891
2021,All,Female,All,912
